title,price_gbp,rating_stars,in_stock,category
A Light in the Attic,25.0,3,1,Poetry
Tipping the Velvet,25.0,3,1,Historical Fiction
Soumission,25.0,3,1,Fiction
Sharp Objects,25.0,3,1,Mystery
Sapiens: A Brief History of Humankind,25.0,3,1,History
The Requiem Red,25.0,3,1,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,25.0,3,1,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",25.0,3,1,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,25.0,3,1,Default
The Black Maria,25.0,3,1,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",25.0,3,1,Default
Shakespeare's Sonnets,25.0,3,1,Poetry
Set Me Free,25.0,3,1,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),25.0,3,1,Sequential Art
Rip it Up and Start Again,25.0,3,1,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",25.0,3,1,Music
Olio,25.0,3,1,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,25.0,3,1,Science Fiction
Libertarianism for Beginners,25.0,3,1,Politics
It's Only the Himalayas,25.0,3,1,Travel
In Her Wake,25.0,3,1,Thriller
How Music Works,25.0,3,1,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",25.0,3,1,Food and Drink
Chase Me (Paris Nights #2),25.0,3,1,Romance
Black Dust,25.0,3,1,Romance
Birdsong: A Story in Pictures,25.0,3,1,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,25.0,3,1,Default
Aladdin and His Wonderful Lamp,25.0,3,1,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,25.0,3,1,Nonfiction
Wall and Piece,25.0,3,1,Art
The Four Agreements: A Practical Guide to Personal Freedom,25.0,3,1,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,25.0,3,1,Nonfiction
The Elephant Tree,25.0,3,1,Thriller
The Bear and the Piano,25.0,3,1,Childrens
Sophie's World,25.0,3,1,Philosophy
Penny Maybe,25.0,3,1,Default
Maude (1883-1993):She Grew Up with the country,25.0,3,1,Default
"In a Dark, Dark Wood",25.0,3,1,Mystery
Behind Closed Doors,25.0,3,1,Thriller
You can't bury them all: Poems,25.0,3,1,Poetry
